compound_id|flavor_id|flavor_name
14915|54|woody
14915|103|minty
14915|105|medicinal
14915|414|cooling
14917|103|minty
14917|228|spearmint
14917|245|warm
14917|531|herbal
14917|685|powerful
14918|103|minty
14918|531|herbal
14920|190|mint
14920|237|terpentine
14921|228|spearmint
14922|8|caraway
14922|103|minty
14922|162|fresh
14922|228|spearmint
14924|46|lemon
14924|190|mint
14925|33|floral
14925|179|lilac
14926|18|fatty
14926|59|green
14926|577|linalool
14926|802|terpineol
14930|67|musty
14930|68|earthy
14930|98|nutty
14930|141|coffee
14930|213|pungent
14939|59|green
14939|103|minty
14939|135|camphor
14939|210|pine
14939|229|spice
14939|414|cooling
14939|800|terpene
14940|21|spicy
14940|25|geranium
14940|59|green
14940|162|fresh
14940|701|red rose
14943|30|lavender
14943|33|floral
14943|44|sweet
14943|46|lemon
14943|49|orange
14943|50|citrus
14943|54|woody
14943|59|green
14943|160|flower
14943|328|blueberry
14943|333|bois de rose
14944|30|lavender
14944|33|floral
14944|54|woody
14944|162|fresh
14944|441|deep
14944|632|natural
14945|30|lavender
14945|33|floral
14945|44|sweet
14945|673|petitgrain
14947|46|lemon
14947|54|woody
14947|59|green
14947|262|acidic
14947|453|dry
14947|469|feet
14947|617|moldy
14947|850|weedy
14948|44|sweet
14948|50|citrus
14948|123|bitter
14948|180|magnolia
14948|632|natural
14948|633|neroli
14949|22|blossom
14949|33|floral
14949|34|rose
14949|47|lime
14949|50|citrus
14949|78|grapefruit
14949|84|pear
14949|110|soapy
14949|164|fruit
14949|443|dewy
14953|59|green
14953|72|berry
14953|81|fruity
14953|95|sulfurous
14953|103|minty
14953|373|catty
14954|30|lavender
14954|33|floral
14954|50|citrus
14954|162|fresh
14955|30|lavender
14955|33|floral
14955|50|citrus
14955|54|woody
14955|198|nutmeg
14955|317|bergamot
14960|33|floral
14960|44|sweet
14960|46|lemon
14960|50|citrus
14960|162|fresh
14960|172|herb
14960|531|herbal
14960|797|tangy
14961|59|green
14961|103|minty
14961|463|eucalyptus
14961|800|terpene
14965|123|bitter
14965|376|cedarleaf
14978|21|spicy
14979|10|fennel
14979|54|woody
14979|119|balsamic
14979|245|warm
14980|162|fresh
14980|210|pine
14980|656|ozone
14981|103|minty
14984|57|meaty
14984|97|hazelnut
14984|807|toasted
14985|45|vanilla
14985|103|minty
14986|57|meaty
14988|33|floral
14988|81|fruity
14992|56|beef
14992|95|sulfurous
14992|184|meat
14992|383|chicken
14992|711|roasted
14993|643|odorless
14994|21|spicy
14994|75|coconut
14994|162|fresh
14994|551|jasmin
14994|632|natural
14994|848|waxy
14999|103|minty
14999|463|eucalyptus
14999|531|herbal
15003|5|vegetable
15003|21|spicy
15003|44|sweet
15003|185|meat broth
15003|711|roasted
15009|119|balsamic
15019|54|woody
15019|81|fruity
15019|250|wood
15019|531|herbal
15020|162|fresh
15020|223|sharp
15020|229|spice
15021|21|spicy
15021|37|balsam
15021|50|citrus
15021|625|myrrh
15021|647|opoponax
15022|21|spicy
15022|81|fruity
15022|531|herbal
15023|81|fruity
15024|57|meaty
15025|57|meaty
15025|790|sulfury
15026|3|cucumber
15026|5|vegetable
15026|18|fatty
15026|33|floral
15026|59|green
15026|81|fruity
15026|92|watermelon
15026|432|cyclamen
15027|29|jasmine
15027|33|floral
15027|93|alcohol
15027|551|jasmin
